,Unnamed: 0,Start ms,End ms,Dur. (ms),MSISDN/Number,IMEI,Avg RTT DL (ms),Avg RTT UL (ms),Avg Bearer TP DL (kbps),Avg Bearer TP UL (kbps),TCP DL Retrans. Vol (Bytes),TCP UL Retrans. Vol (Bytes),DL TP < 50 Kbps (%),50 Kbps < DL TP < 250 Kbps (%),250 Kbps < DL TP < 1 Mbps (%),DL TP > 1 Mbps (%),UL TP < 10 Kbps (%),10 Kbps < UL TP < 50 Kbps (%),50 Kbps < UL TP < 300 Kbps (%),UL TP > 300 Kbps (%),Activity Duration DL (ms),Activity Duration UL (ms),Social Media DL (Bytes),Social Media UL (Bytes),Google DL (Bytes),Google UL (Bytes),Email DL (Bytes),Email UL (Bytes),Youtube DL (Bytes),Youtube UL (Bytes),Netflix DL (Bytes),Netflix UL (Bytes),Gaming DL (Bytes),Gaming UL (Bytes),Other DL (Bytes),Other UL (Bytes),Total UL (Bytes),Total DL (Bytes),Duration (s),Total Traffic (Bytes),Total Session Duration (s),Cluster,Engagement Cluster,Average_RTT,Average_Throughput,TCP_Retransmission,user_experience,Engagement_Score,Experience_Score,Satisfaction_Score,Experience_Cluster
76553,76553,0.7997997997997998,0.7577577577577578,4.27908739581274e-05,,0.8719141014579399,0.0006603179843793,0.0043539325842696,0.1300772159932303,0.0452800573251667,0.0010653459764423,0.0010463416511537,0.78,0.064516129032258,0.05,0.0957446808510638,0.96,0.0204081632653061,0.0,0.0,0.0830536467471498,0.0656768965549151,0.0033290091722038,0.256095339304691,0.9697742881757015,0.831228523441568,0.6834015033467813,0.2921789033933636,0.2879997437556013,0.5447756634072264,0.3100576302303777,0.3481431878727526,0.5518296642288716,0.5579092847370285,0.9513854608030852,0.4847773383704534,0.500501832525869,0.5422892066056518,4.27908739581274e-08,19895.67875957388,0.0009158846362746,1,1,0.0025071252843244,0.0153580302804496,0.002111687627596,0,0.135960296115957,0.13601981966885832,0.13599005789240765,1
37243,37243,0.7237237237237237,0.7227227227227228,4.27908739581274e-05,,0.8719141013497838,0.0005984131733437,0.0033707865168539,0.1303522318595303,0.0437445617866343,0.0002198606041831,8.233197818475597e-05,0.81,0.086021505376344,0.03,0.0638297872340425,0.97,0.0204081632653061,0.0,0.0,0.0392406098763611,0.0287258771474766,0.9386472923426654,0.5847274935478973,0.4891991145134731,0.7749768643994183,0.0793688018176687,0.6215015548645046,0.331503636542257,0.5203067601247818,0.539790990615434,0.110382556360372,0.4253573836895091,0.8999666339246325,0.9411841244053918,0.4685553209956259,0.4968106227651471,0.4254878639338713,4.27908739581274e-08,19895.67875957388,0.0009158846362746,1,1,0.0019845998450988,0.0153580302804496,0.0003021925823678,0,0.13574092176064143,0.13578124860909674,0.13576108518486907,1
36485,36485,0.1031031031031031,0.001001001001001,4.27908739581274e-05,,0.8719141016504599,0.0008666673544979,0.0024824830986333,0.1300296170932938,0.0446658591097538,0.0011157501565992,4.58826101446679e-05,0.22,0.3870967741935484,0.22,0.1914893617021276,0.99,0.0,0.0,0.0,0.1656901961154537,0.0821277262359393,0.2583872180325327,0.4744648550174586,0.9957703405633528,0.1976018075613014,0.3163143464880824,0.3223140142842497,0.3301307082900437,0.0434609855951726,0.3173046285833268,0.493271872694431,0.2705638796399892,0.6990604052785433,0.3040886459914226,0.2220049342133074,0.3358814701800063,0.2786463309110958,4.27908739581274e-08,19895.67875957388,0.0009158846362746,1,1,0.0016745752265656,0.0153580302804496,0.0011616327667438,0,0.13572081774547698,0.1357503557983672,0.1357355867719221,1
4424,4424,0.2712712712712712,0.6316316316316316,2.75710859661568e-05,,0.3568615223797946,0.0018984142050906,0.0008426966292134,0.1296805584937592,0.045297118386706,0.000333299058823,6.492617825277991e-06,0.77,0.1182795698924731,0.06,0.0425531914893617,0.97,0.010204081632653,0.0,0.0,0.0092244883950815,0.0037369275284846,0.630596265754094,0.307347806285107,0.6324214566907668,0.6899259321087197,0.8485189613767702,0.4035695673717663,0.2031354253796748,0.4917121713083998,0.243829621094875,0.2952207712911913,0.4383594041678677,0.3118015959552466,0.7473807700037901,0.0372384421259004,0.311094636533278,0.4303906363478287,2.75710859661568e-08,9097.031893981302,0.0005822148695007,1,0,0.001370555417152,0.0153580302804496,0.0003397916766482,0,0.1355897870766699,0.1356197166426517,0.1356047518596608,1
141455,141455,0.1061061061061061,0.058058058058058,4.27908739581274e-05,,0.8719141031502998,0.0010420643190986,0.0037921348314606,0.1299317749100909,0.044273454694351,0.000186647081736,1.4863012683912783e-05,0.85,0.075268817204301,0.04,0.0319148936170212,0.94,0.0408163265306122,0.0,0.0,0.0200571845787038,0.0188521056119484,0.585507683658798,0.7605434947624108,0.5154923937579743,0.906497961592234,0.9706608680327438,0.4467288042921094,0.9956021840105646,0.5718476183086234,0.7620864600064654,0.1988903285129148,0.8628514191973818,0.7394844473324804,0.8112225407726159,0.4534098998784202,0.5042913932723712,0.8628883902408042,4.27908739581274e-08,19895.67875957388,0.0009158846362746,1,1,0.0024170995752796,0.0153580302804496,0.0002015100944199,0,0.1355049946083348,0.1355532578364971,0.13552912622241595,1
38659,38659,0.8898898898898899,0.9229229229229228,4.279141385837551e-05,,0.8719141015087611,0.0007119053269089,0.0033707865168539,0.1297017135603977,0.044819408663607,0.0004720426440978,7.846364058628244e-06,0.76,0.1075268817204301,0.06,0.0531914893617021,0.99,0.0,0.0,0.0,0.0286456157670587,0.0260875527485632,0.5615546009929583,0.9475482010019736,0.9367583777712348,0.3940605441803834,0.1033704280824018,0.4568845470389228,0.4428368834575968,0.6968655575038489,0.0889268639129371,0.2514229562891379,0.9834111313179116,0.8097596223383006,0.8594639766084669,0.1426536844630256,0.4756165816369699,0.9463880056782592,4.2791413858375504e-08,19895.67875957388,0.0009158846362746,1,1,0.0020413459218814,0.0153580302804496,0.0004798890081564,0,0.1354580476473447,0.1354985917074079,0.1354783196773763,1
11395,11395,0.3993993993993994,0.2642642642642642,9.8537194267987e-06,,0.3589018767022698,0.000412698740237,0.0030898876404494,0.1301433255764755,0.0432668520635353,6.805333923533496e-06,1.856664506374909e-05,0.9,0.064516129032258,0.01,0.0106382978723404,0.96,0.010204081632653,0.01,0.0,0.0119914782323236,0.0103908878930505,0.3547673039877838,0.7870198876575072,0.951948877329582,0.0351699951035509,0.6642624978667823,0.9309751221679252,0.7942762912234789,0.4966158920621735,0.021639013674921,0.2725071688430632,0.482779355618249,0.5941502173928142,0.536365930746835,0.0987442951329177,0.3525545330177391,0.4840372992041714,9.8537194267987e-09,4548.297770443962,0.0002597199974732,1,0,0.0017512931903432,0.0153580302804496,2.537197898728259e-05,0,0.13539578349417009,0.13543216046657047,0.13541397198037028,1
66901,66901,0.4404404404404404,0.3633633633633633,4.81110510022168e-05,,0.357367803555899,0.0002063493701185,0.0051966292134831,0.1292918341442775,0.0446999812328323,7.942855094327717e-07,1.2791302992285842e-07,0.55,0.3440860215053763,0.1,0.0106382978723404,0.98,0.010204081632653,0.0,0.0,0.0211641855870279,0.0196226735758958,0.4497968796883035,0.8679216638834067,0.4523655794375197,0.400192024271635,0.7125454389297438,0.2838236424836824,0.4047069430408686,0.7038071799212579,0.5243143267463763,0.1138253727980112,0.9334198191385594,0.72418478827036,0.2041688105131571,0.9514367339208684,0.5943127581754788,0.9054289861398698,4.8111051002216804e-08,1297.7122682017507,7.463623950838836e-05,1,2,0.0027014892918007,0.0153580302804496,9.2219853935563e-07,0,0.13503143466299788,0.1351140246691025,0.1350727296660502,1
6034,6034,0.9629629629629628,0.1141141141141141,2.1170028625511103e-05,,0.3572957514098449,0.0008047625434623,0.0004213483146067,0.1290035963613285,0.0453141794482452,0.0004836549073005,1.109714305026992e-05,0.76,0.1075268817204301,0.05,0.0638297872340425,0.97,0.0204081632653061,0.0,0.0,0.0347308474620563,0.0332208063314982,0.7971030537203588,0.6585850918475785,0.4634704528849194,0.0992460244861276,0.9006430884306544,0.5705380941803643,0.0222341458989395,0.9154464795950656,0.3071698631080495,0.8501633206008381,0.5768003149646654,0.3811661941567396,0.8330316255552642,0.8707981825591284,0.7648031054211124,0.5563926071454096,2.1170028625511103e-08,6377.749558517635,0.0002866811014396,1,0,0.0006130554290345,0.0153580302804496,0.0004947520503507,0,0.13495392633890213,0.1349802275090112,0.13496707692395665,1
126626,126626,0.3853853853853853,0.2662662662662662,0.0001395388388041,,0.8748229592228327,0.0003920638032252,0.0028089887640449,0.1295033848106621,0.0436763175404773,1.5592306570395306e-06,1.3898507176026714e-06,0.93,0.043010752688172,0.01,0.0106382978723404,0.98,0.010204081632653,0.0,0.0,0.006558057777695,0.0057708614883451,0.5302951546714884,0.8599514194625778,0.6620522786011058,0.1372801268709264,0.0079999843842892,0.1436850715921129,0.8428587244231224,0.2823306093620361,0.3844920022217495,0.0770471635368473,0.4874092699013708,0.2733440688555013,0.96806978969921,0.608002708913543,0.2702592595326282,0.4934447486136368,1.395388388041425e-07,7.2493366881629875,3.6666839434746e-07,1,2,0.001600526283635,0.0153580302804496,2.949081374642202e-06,0,0.1349123974613622,0.13494536671010107,0.13492888208573162,1
